county,precinct,office,district,candidate,party,votes
Kings,"=""8/44""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,2
Kings,"=""8/44""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,4
Kings,"=""8/44""",President,NYC,Scattered,,11
Kings,"=""9/44""",President,NYC,Manually Counted Emergency,,0
Kings,"=""9/44""",President,NYC,Absentee / Military,,19
Kings,"=""9/44""",President,NYC,Federal,,1
Kings,"=""9/44""",President,NYC,Special Presidential,,0
Kings,"=""9/44""",President,NYC,Affidavit,,15
Kings,"=""9/44""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,493
Kings,"=""9/44""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,91
Kings,"=""9/44""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,9
Kings,"=""9/44""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,9
Kings,"=""9/44""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,42
Kings,"=""9/44""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
Kings,"=""9/44""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Kings,"=""9/44""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,"=""9/44""",President,NYC,Scattered,,2
Kings,"=""10/44""",President,NYC,Manually Counted Emergency,,0
Kings,"=""10/44""",President,NYC,Absentee / Military,,7
Kings,"=""10/44""",President,NYC,Federal,,1
Kings,"=""10/44""",President,NYC,Special Presidential,,0
Kings,"=""10/44""",President,NYC,Affidavit,,12
Kings,"=""10/44""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,511
Kings,"=""10/44""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,47
Kings,"=""10/44""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,4
Kings,"=""10/44""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,6
Kings,"=""10/44""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,15
