county,precinct,ballot-style,office,district,party,candidate,votes
Dallas,2046,6235,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1788
Dallas,2047,6236,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2311
Dallas,2048,6237,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,3346
Dallas,2049,6238,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1513
Dallas,2050,6239,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1633
Dallas,2051,6240,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2449
Dallas,2052,6241,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1312
Dallas,2053,6242,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2252
Dallas,2054,6243,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2564
Dallas,2055,6244,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1442
Dallas,2056,6245,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1240
Dallas,2057,6246,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,466
Dallas,2058,6247,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1084
Dallas,2059,6248,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1201
Dallas,2060,6249,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2488
Dallas,2061,6250,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2832
Dallas,2062,6251,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2016
Dallas,2063,6252,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,696
Dallas,2064,6253,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1937
