county,precinct,office,district,candidate,party,votes
Queens,"=""23/23""",President,NYC,Affidavit,,28
Queens,"=""23/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,191
Queens,"=""23/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,256
Queens,"=""23/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,9
Queens,"=""23/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,1
Queens,"=""23/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,1
Queens,"=""23/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
Queens,"=""23/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Queens,"=""23/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Queens,"=""23/23""",President,NYC,Scattered,,1
Queens,"=""24/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""24/23""",President,NYC,Absentee / Military,,13
Queens,"=""24/23""",President,NYC,Federal,,2
Queens,"=""24/23""",President,NYC,Special Presidential,,0
Queens,"=""24/23""",President,NYC,Affidavit,,33
Queens,"=""24/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,466
Queens,"=""24/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,93
Queens,"=""24/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,5
Queens,"=""24/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,4
Queens,"=""24/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,11
Queens,"=""24/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,3
Queens,"=""24/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,2
Queens,"=""24/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Queens,"=""24/23""",President,NYC,Scattered,,2
Queens,"=""25/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""25/23""",President,NYC,Absentee / Military,,48
Queens,"=""25/23""",President,NYC,Federal,,5
Queens,"=""25/23""",President,NYC,Special Presidential,,0
Queens,"=""25/23""",President,NYC,Affidavit,,18
Queens,"=""25/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,329
Queens,"=""25/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,188
Queens,"=""25/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,18
Queens,"=""25/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,1
Queens,"=""25/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,3
Queens,"=""25/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,6
Queens,"=""25/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Queens,"=""25/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Queens,"=""25/23""",President,NYC,Scattered,,6
Queens,"=""26/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""26/23""",President,NYC,Absentee / Military,,8
Queens,"=""26/23""",President,NYC,Federal,,1
Queens,"=""26/23""",President,NYC,Special Presidential,,0
Queens,"=""26/23""",President,NYC,Affidavit,,40
Queens,"=""26/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,351
Queens,"=""26/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,170
Queens,"=""26/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,3
Queens,"=""26/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,5
Queens,"=""26/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,2
Queens,"=""26/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,5
Queens,"=""26/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Queens,"=""26/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
