county,precinct,office,district,party,candidate,votes
Autauga,170 CAMELLIA BAPTIST CH,U.S. Senate,,DEM,Under Votes,73
Autauga,170 CAMELLIA BAPTIST CH,U.S. Senate,,REP,John Martin,19
Autauga,170 CAMELLIA BAPTIST CH,U.S. Senate,,REP,Jonathan McConnell,190
Autauga,170 CAMELLIA BAPTIST CH,U.S. Senate,,REP,Marcus Bowman,20
Autauga,170 CAMELLIA BAPTIST CH,U.S. Senate,,REP,Over Votes,1
Autauga,170 CAMELLIA BAPTIST CH,U.S. Senate,,REP,Richard C. Shelby,411
Autauga,170 CAMELLIA BAPTIST CH,U.S. Senate,,REP,Shadrack McGill,5
Autauga,170 CAMELLIA BAPTIST CH,U.S. Senate,,REP,Under Votes,62
Autauga,180 OLD KINGSTON VFD,President,,DEM,Bernie Sanders,20
Autauga,180 OLD KINGSTON VFD,President,,DEM,Hillary Clinton,183
Autauga,180 OLD KINGSTON VFD,President,,DEM,Martin J. O'Malley,1
Autauga,180 OLD KINGSTON VFD,President,,DEM,Over Votes,0
Autauga,180 OLD KINGSTON VFD,President,,DEM,"Roque ""Rocky"" De La Fuente",0
Autauga,180 OLD KINGSTON VFD,President,,DEM,Uncommitted,2
Autauga,180 OLD KINGSTON VFD,President,,DEM,Under Votes,3
Autauga,180 OLD KINGSTON VFD,President,,REP,Ben Carson,25
Autauga,180 OLD KINGSTON VFD,President,,REP,Carly Fiorina,0
Autauga,180 OLD KINGSTON VFD,President,,REP,Chris Christie,0
Autauga,180 OLD KINGSTON VFD,President,,REP,Donald J. Trump,133
Autauga,180 OLD KINGSTON VFD,President,,REP,Jeb Bush,1
Autauga,180 OLD KINGSTON VFD,President,,REP,John R. Kasich,6
Autauga,180 OLD KINGSTON VFD,President,,REP,Lindsey Graham,0
Autauga,180 OLD KINGSTON VFD,President,,REP,Marco Rubio,22
Autauga,180 OLD KINGSTON VFD,President,,REP,Mike Huckabee,1
Autauga,180 OLD KINGSTON VFD,President,,REP,Over Votes,0
Autauga,180 OLD KINGSTON VFD,President,,REP,Rand Paul,0
Autauga,180 OLD KINGSTON VFD,President,,REP,Rick Santorum,0
Autauga,180 OLD KINGSTON VFD,President,,REP,Ted Cruz,42
Autauga,180 OLD KINGSTON VFD,President,,REP,Uncommitted,1
Autauga,180 OLD KINGSTON VFD,President,,REP,Under Votes,2
Autauga,180 OLD KINGSTON VFD,U.S. House,2,REP,Becky Gerritson,77
Autauga,180 OLD KINGSTON VFD,U.S. House,2,REP,Martha Roby,129
Autauga,180 OLD KINGSTON VFD,U.S. House,2,REP,Over Votes,0
Autauga,180 OLD KINGSTON VFD,U.S. House,2,REP,"Robert L. ""Bob"" Rogers",15
Autauga,180 OLD KINGSTON VFD,U.S. House,2,REP,Under Votes,12
Autauga,180 OLD KINGSTON VFD,U.S. Senate,,DEM,Charles Nana,98
Autauga,180 OLD KINGSTON VFD,U.S. Senate,,DEM,Over Votes,0
Autauga,180 OLD KINGSTON VFD,U.S. Senate,,DEM,Ron Crumpton,44
Autauga,180 OLD KINGSTON VFD,U.S. Senate,,DEM,Under Votes,67
Autauga,180 OLD KINGSTON VFD,U.S. Senate,,REP,John Martin,3
Autauga,180 OLD KINGSTON VFD,U.S. Senate,,REP,Jonathan McConnell,56
Autauga,180 OLD KINGSTON VFD,U.S. Senate,,REP,Marcus Bowman,7
Autauga,180 OLD KINGSTON VFD,U.S. Senate,,REP,Over Votes,0
Autauga,180 OLD KINGSTON VFD,U.S. Senate,,REP,Richard C. Shelby,146
Autauga,180 OLD KINGSTON VFD,U.S. Senate,,REP,Shadrack McGill,4
