precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_ind_COLE,pri_ind_HENDRIX,pri_ind_III,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_DAVIS,pri_rep_FIELDS,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_R.KASICH,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
HARALSONTALLAPOOSA,57,4,68,1,0,0,0,5,51,2,194,0,0,1,1,4,27,0,2,0,115,2,433,258,52,1395,837,130,1705
HARALSONTWENTIETH,17,0,12,0,0,0,0,2,17,0,67,0,0,0,0,1,3,0,0,0,31,0,113,40,12,389,234,29,441
HARALSONWACO,15,0,17,1,0,0,0,3,25,0,79,0,0,0,1,1,4,0,0,0,39,0,164,75,16,529,316,33,620
HARRISCATAULA,125,0,34,1,0,0,0,5,75,1,247,0,0,2,0,1,48,0,2,0,158,0,297,379,50,1454,836,160,1883
HARRISELLERSLIE,224,1,84,0,0,0,0,4,139,0,327,0,0,1,0,2,54,0,2,0,242,0,357,701,57,2022,1128,309,2780
HARRISGOODMAN,127,1,49,0,0,0,0,6,59,1,113,0,0,1,0,0,40,0,0,0,94,0,136,369,21,638,450,177,1028
HARRISHAMILTON,207,1,43,0,0,0,0,5,51,1,128,0,0,1,0,1,21,0,0,0,95,0,225,509,39,987,528,251,1535
HARRISLOWER 19TH,104,2,44,0,0,0,0,5,65,0,206,0,0,0,0,4,39,0,0,0,110,0,315,346,43,1327,744,150,1716
HARRISMULBERRY GROVE,80,0,52,0,0,0,0,3,92,0,267,0,0,1,1,3,39,0,3,0,145,2,354,317,41,1617,910,132,1975
HARRISPINE MOUNTAIN VALLEY,45,1,18,1,0,0,0,4,39,1,108,0,0,0,0,3,12,0,1,0,50,0,139,119,19,599,357,65,737
