precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
WAYNE4-2 SHAWNATEE,10,0,2,0,6,0,45,0,0,0,1,4,0,0,15,0,68
WILLIAMSON1-APR,178,0,125,8,56,2,254,1,0,0,0,114,0,3,460,0,316
WILLIAMSON1-AUG,134,0,89,3,57,0,232,1,0,0,0,81,0,2,258,1,225
WILLIAMSON1-DEC,143,0,115,7,58,0,231,1,0,0,2,76,0,0,302,1,218
WILLIAMSON1-FEB,98,1,48,6,79,1,235,0,0,0,1,42,0,3,194,0,297
WILLIAMSON1-JAN,144,0,98,5,63,0,266,1,0,0,0,20,0,4,162,0,353
WILLIAMSON1-JUL,225,0,125,18,101,1,410,1,0,1,0,176,0,2,683,0,509
WILLIAMSON1-JUN,255,3,134,20,97,4,326,2,0,0,4,175,0,1,597,0,408
WILLIAMSON1-MAR,144,0,103,6,115,1,340,0,0,0,1,46,0,2,354,1,319
WILLIAMSON1-MAY,144,1,76,11,36,1,208,0,0,0,1,67,0,2,307,0,273
WILLIAMSON1-NOV,187,0,85,14,71,2,198,0,0,0,0,73,0,2,278,0,249
WILLIAMSON1-OCT,218,0,158,8,82,1,317,1,0,0,1,91,1,4,394,0,282
WILLIAMSON1-SEP,88,0,101,8,64,1,251,0,0,0,0,83,0,1,345,0,191
WILLIAMSON2-APR,137,0,62,12,61,0,304,1,0,0,0,87,0,0,368,0,336
WILLIAMSON2-AUG,188,0,139,20,83,3,296,3,0,0,2,115,1,0,424,1,369
WILLIAMSON2-DEC,263,1,149,22,109,1,345,3,0,1,4,132,1,2,538,0,370
WILLIAMSON2-FEB,116,0,142,7,84,3,386,1,0,0,2,46,0,0,314,1,282
WILLIAMSON2-JAN,135,0,127,5,71,0,219,1,0,0,2,48,0,3,119,0,348
WILLIAMSON2-JUL,152,0,88,12,49,2,210,1,0,0,1,103,0,0,323,0,324
WILLIAMSON2-JUN,171,2,95,6,69,4,215,0,0,0,0,93,0,2,386,0,315
