precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP
18LOCKHAVENWARD3,2,626,21,68,459
18LOCKHAVENWARD4,6,351,15,39,446
18LOCKHAVENWARD5,1,152,5,16,247
18PINECREEK1,2,165,5,10,605
18PINECREEK2,2,218,4,24,495
19BERWICKWARD1,6,401,16,38,956
19BERWICKWARD2,1,147,6,15,247
19BERWICKWARD3,4,229,3,11,491
19BERWICKWARD4,6,305,10,28,736
19BLOOMSBURGWARD1,0,349,19,22,253
19BLOOMSBURGWARD2,4,382,19,28,302
19BLOOMSBURGWARD3-1,4,619,18,54,490
19BLOOMSBURGWARD3-2,2,785,21,73,443
19BLOOMSBURGWARD4,4,414,11,39,495
19BRIARCREEKNORTHEAST,0,146,8,8,537
19BRIARCREEKWEST,6,174,6,24,539
19SCOTTEAST,4,541,10,57,845
19SCOTTWEST,5,511,14,39,737
1CARROLLVALLEYDISTRICT1,5,345,12,41,797
1CARROLLVALLEYDISTRICT2,6,283,10,33,625
1CONEWAGO1,5,431,8,30,1012
1CONEWAGO2,6,415,12,34,1097
1CUMBERLAND1,4,507,9,31,584
1CUMBERLAND2,2,209,4,20,587
1CUMBERLAND3,3,397,4,25,563
1CUMBERLAND4,5,428,11,27,514
1FRANKLIN1,8,315,10,32,811
1FRANKLIN2,1,264,7,31,769
1GETTYSBURGWARD1,4,491,12,22,325
1GETTYSBURGWARD2,3,855,17,41,327
1GETTYSBURGWARD3,3,435,8,22,320
1LITTLESTOWNWARD1,2,203,12,45,701
1LITTLESTOWNWARD2,5,274,8,31,716
1MCSHERRYSTOWN1,3,189,8,30,393
1MCSHERRYSTOWN2,2,150,7,18,301
1MT.JOY1,1,385,6,26,604
