precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP
49MT.CARMEL,529,17,499,3,3,87,56,4,530
49NORTHUMBERLAND,176,2,166,3,0,143,87,6,336
49POINT,147,3,108,5,9,214,89,7,469
49RALPHO,209,3,188,0,6,124,117,6,632
49RIVERSIDE,124,2,96,4,3,66,62,3,194
49SUNBURY,316,3,346,13,8,259,105,3,596
49UPPERAUGUSTA,108,3,105,0,4,126,79,4,319
49WATSONTOWN,65,2,77,2,2,84,33,3,198
4ALIQUIPPA,1215,16,523,1,3,85,37,2,262
4AMBRIDGE,451,9,442,2,5,108,59,1,199
4BADEN,403,19,263,2,2,69,68,1,241
4BEAVER,367,4,322,5,8,197,262,9,381
4BEAVERFALLS,614,12,379,8,5,179,97,4,260
4BRIGHTON,578,13,460,10,14,283,341,6,789
4CENTER,1154,36,832,3,13,262,247,8,811
4CHIPPEWA,526,20,415,10,8,356,296,8,730
4CONWAY,210,12,125,0,3,55,52,4,124
4DAUGHERTY,236,9,215,3,5,114,88,2,265
4ECONOMY,792,38,584,2,6,334,313,7,872
4FRANKLIN,219,9,155,5,6,135,107,2,383
4HANOVER,165,8,142,0,4,156,76,1,320
4HARMONY,309,8,280,2,2,61,71,3,188
4HOPEWELL,1275,27,879,2,11,242,241,7,813
4MIDLAND,316,4,181,0,2,26,21,0,54
4MONACA,529,18,363,0,3,81,70,5,286
4NEWBRIGHTON,361,7,298,3,5,79,71,2,202
4NEWSEWICKLEY,458,10,385,3,14,222,249,5,721
4NORTHSEWICKLEY,424,14,288,5,6,244,130,5,502
4OHIOVILLE,212,8,179,4,5,119,79,2,282
4PATTERSON,204,5,179,3,4,98,98,5,222
4RACCOON,220,5,202,2,0,131,50,3,245
4ROCHESTER,520,12,359,4,4,111,87,8,318
50TOBOYNE,23,0,14,0,1,24,5,0,60
51PHILADELPHIA,218959,1493,129353,379,318,8231,9629,659,25738
52DELAWARE,176,3,209,2,3,102,95,5,682
52DINGMAN,358,2,399,5,6,202,156,2,1061
52LACKAWAXEN,152,0,141,3,4,121,85,4,696
52LEHMAN,429,3,272,0,1,66,55,2,480
52MATAMORAS,108,2,86,0,4,34,32,5,177
53COUDERSPORT,72,2,111,3,9,83,71,4,254
53GALETON,44,2,49,3,3,25,25,1,120
53SHARON,9,1,15,2,4,47,14,1,117
