precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HAWES,pri_dem_JUDD,pri_dem_LOCKE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_GRAY,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
TRAVIS104,144,0,0,0,0,1,128,0,2,8,0,49,1,0,0,0,11,0,21,0,42
TRAVIS105,677,3,0,1,1,1,458,1,6,29,1,223,0,0,0,0,25,8,110,2,172
TRAVIS106,237,0,0,1,0,2,191,1,8,25,1,253,0,0,0,2,14,3,77,0,173
TRAVIS107,26,0,0,0,0,1,15,0,0,6,0,33,0,0,0,0,9,0,10,0,43
TRAVIS108,179,2,0,0,0,0,183,1,0,6,0,35,0,0,0,0,10,2,30,0,36
TRAVIS109,216,2,0,0,1,2,240,0,4,6,0,86,1,0,0,1,5,4,50,0,64
TRAVIS110,471,2,0,0,0,2,377,0,10,26,0,216,0,2,0,0,32,7,182,2,187
TRAVIS111,443,0,0,0,0,2,397,1,4,15,0,150,0,0,0,0,37,1,109,0,104
TRAVIS112,123,0,0,1,0,0,133,0,2,5,0,34,2,0,0,0,3,1,18,0,17
TRAVIS113,543,0,1,3,1,1,493,0,3,21,1,184,0,0,0,1,15,1,134,0,131
TRAVIS114,52,0,0,0,0,0,8,0,0,0,0,12,0,0,0,0,2,1,3,0,9
TRAVIS115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAVIS116,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TRAVIS117,392,0,1,0,0,3,214,0,2,3,0,19,2,0,0,0,2,0,12,0,28
TRAVIS118,74,0,0,0,0,0,48,0,1,1,0,5,0,0,0,0,1,0,7,0,9
TRAVIS119,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAVIS120,20,0,0,0,0,0,15,0,1,1,0,10,0,0,0,0,0,0,1,0,6
TRAVIS121,130,1,0,1,0,0,66,0,0,0,0,9,0,0,0,0,0,0,5,0,7
TRAVIS122,563,0,0,0,1,1,281,3,0,2,0,15,0,1,0,2,6,0,10,0,14
TRAVIS123,377,1,0,0,1,0,275,1,4,27,0,269,0,0,0,0,37,5,189,1,175
TRAVIS124,619,1,1,0,1,5,899,3,1,5,0,25,1,0,1,0,19,6,53,0,35
TRAVIS125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAVIS126,639,1,1,0,0,2,1036,5,0,2,0,27,0,0,0,1,17,3,57,0,18
TRAVIS127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAVIS128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAVIS129,386,1,1,0,1,0,376,2,2,4,0,12,0,0,0,0,2,0,10,0,14
TRAVIS130,301,1,0,0,0,0,361,0,0,5,0,33,0,0,0,0,8,1,27,0,21
TRAVIS131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAVIS132,431,2,1,0,0,3,394,2,0,2,0,29,0,0,1,0,5,3,27,0,27
TRAVIS133,400,0,0,1,0,3,410,0,3,4,0,38,0,0,0,0,10,0,37,0,32
TRAVIS134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAVIS135,1031,2,3,2,0,4,1150,1,2,7,0,93,1,0,0,0,52,7,137,0,68
TRAVIS136,303,1,0,0,1,1,216,1,10,26,1,218,0,0,0,1,40,5,128,0,123
TRAVIS137,652,2,2,0,0,2,466,2,6,65,2,563,1,0,1,0,49,6,354,0,358
