precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP
JONES3,4.0,32.0,12.0,136.0
JONES5,2.0,16.0,9.0,147.0
JONESTOTAL,7.0,69.0,32.0,450.0
KINGSBURYARLINGTON,7.0,186.0,36.0,329.0
KINGSBURYBADGER,2.0,67.0,17.0,184.0
KINGSBURYDE SMET,15.0,244.0,49.0,566.0
KINGSBURYIROGUOIS,2.0,45.0,11.0,153.0
KINGSBURYLAKE PRESTON,2.0,108.0,18.0,289.0
KINGSBURYOLDHAM,1.0,53.0,8.0,159.0
KINGSBURYTOTAL,29.0,703.0,139.0,1680.0
LAKE1,3.0,135.0,13.0,306.0
LAKE10,7.0,242.0,50.0,342.0
LAKE2,8.0,134.0,19.0,348.0
LAKE3,3.0,33.0,12.0,127.0
LAKE4,3.0,69.0,11.0,152.0
LAKE5,3.0,128.0,19.0,275.0
LAKE6,2.0,75.0,20.0,236.0
LAKE7,3.0,160.0,9.0,294.0
LAKE8,34.0,1082.0,139.0,1570.0
LAKE9,10.0,256.0,66.0,388.0
LAKETOTAL,76.0,2314.0,358.0,4038.0
LAWRENCEABSENTEE,41.0,1585.0,281.0,2969.0
LAWRENCEBOXELDER,3.0,52.0,14.0,134.0
LAWRENCEDEADWOOD,1.0,122.0,28.0,166.0
LAWRENCELEAD,10.0,237.0,87.0,455.0
LAWRENCEPROVISIONAL,0.0,0.0,0.0,0.0
LAWRENCERURAL #1,4.0,116.0,45.0,312.0
LAWRENCERURAL #2,22.0,268.0,96.0,1015.0
LAWRENCESPEARFISH 1,18.0,264.0,107.0,468.0
LAWRENCESPEARFISH 2,20.0,259.0,109.0,611.0
LAWRENCESPEARFISH 3,13.0,327.0,103.0,698.0
LAWRENCEST.ONGE,3.0,26.0,11.0,116.0
LAWRENCETOTALS,141.0,3356.0,934.0,7411.0
LAWRENCEWHITEWOOD,6.0,100.0,53.0,467.0
LINCOLN02-NORWAY & FAIRVIEW,1.0,58.0,10.0,187.0
LINCOLN06-HIGHLAND & CANTON,4.0,117.0,26.0,315.0
LINCOLN08-LINCOLN & DELAWARE,1.0,62.0,9.0,145.0
LINCOLN11-GRANT,2.0,65.0,14.0,138.0
LINCOLN12-DAYTON,4.0,84.0,20.0,280.0
LINCOLN13-LAVALLEY,3.0,65.0,9.0,195.0
LINCOLN14-PERRY,4.0,106.0,19.0,271.0
LINCOLN15-SPRINGDALE,13.0,271.0,62.0,748.0
LINCOLN16-DELAPRE,8.0,230.0,57.0,693.0
"LINCOLN20-CANTON 1,2,3",11.0,298.0,43.0,563.0
LINCOLN21-HUDSON & EDEN,1.0,62.0,11.0,148.0
LINCOLN23-WORTHING & LYNN,8.0,130.0,44.0,347.0
LINCOLN24-TEA,19.0,497.0,132.0,1092.0
LINCOLN25-LENNOX,11.0,287.0,47.0,586.0
LINCOLN26-BROOKLYN & PLEASANT,7.0,104.0,18.0,303.0
LINCOLN27-HARRISBURG 1,14.0,261.0,63.0,587.0
LINCOLN29-HARRISBURG 2,19.0,304.0,84.0,676.0
LINCOLN30-CANTON 4 & 5,5.0,186.0,29.0,260.0
LINCOLNSIOUX FALLS 1-11,5.0,454.0,44.0,902.0
LINCOLNSIOUX FALLS 1-12,16.0,423.0,79.0,646.0
LINCOLNSIOUX FALLS 1-13,6.0,272.0,52.0,364.0
LINCOLNSIOUX FALLS 1-14,8.0,282.0,61.0,501.0
LINCOLNSIOUX FALLS 1-15,8.0,361.0,62.0,459.0
LINCOLNSIOUX FALLS 1-16,10.0,267.0,40.0,375.0
LINCOLNSIOUX FALLS 1-18,7.0,342.0,69.0,682.0
LINCOLNSIOUX FALLS 2-10,6.0,522.0,53.0,997.0
LINCOLNSIOUX FALLS 2-11,10.0,625.0,61.0,1006.0
LINCOLNSIOUX FALLS 2-12,5.0,303.0,46.0,437.0
LINCOLNSIOUX FALLS 2-13,23.0,710.0,93.0,1002.0
LINCOLNSIOUX FALLS 2-15,4.0,328.0,56.0,594.0
LINCOLNTOTAL,243.0,8076.0,1413.0,15499.0
LYMANIONA,1.0,6.0,3.0,58.0
LYMANKENNEBEC,2.0,22.0,14.0,213.0
LYMANLOWER BRULE,6.0,143.0,7.0,15.0
LYMANOACOMA,3.0,92.0,10.0,216.0
LYMANPRESHO,3.0,60.0,17.0,293.0
LYMANRELIANCE,3.0,33.0,2.0,100.0
LYMANTOTAL,19.0,369.0,56.0,977.0
LYMANVIVIAN,1.0,13.0,3.0,82.0
MARSHALLA1,2.0,90.0,16.0,122.0
MARSHALLA2,2.0,67.0,14.0,78.0
MARSHALLA3,5.0,96.0,18.0,156.0
MARSHALLA4,2.0,125.0,13.0,137.0
MARSHALLA5,0.0,66.0,10.0,97.0
MARSHALLA6,4.0,115.0,12.0,150.0
MARSHALLA7,1.0,62.0,9.0,100.0
MARSHALLA8,0.0,71.0,13.0,106.0
MARSHALLA9,4.0,62.0,12.0,110.0
MARSHALLTOTAL,20.0,754.0,117.0,1056.0
MCCOOK1,6.0,150.0,30.0,322.0
MCCOOK2,1.0,42.0,2.0,102.0
MCCOOK3,13.0,126.0,23.0,383.0
MCCOOK4,3.0,67.0,16.0,379.0
MCCOOK5,8.0,180.0,34.0,377.0
MCCOOK6,9.0,58.0,25.0,231.0
MCCOOKTOTAL,40.0,623.0,130.0,1794.0
MCPHERSON1,0.0,33.0,9.0,149.0
MCPHERSON2,4.0,40.0,10.0,135.0
MCPHERSON3,2.0,5.0,0.0,56.0
MCPHERSON4,3.0,32.0,9.0,187.0
MCPHERSON5,0.0,34.0,5.0,198.0
MCPHERSON6,1.0,48.0,10.0,167.0
MCPHERSONTOTAL,10.0,192.0,43.0,892.0
MEADEALKALI #6A,1.0,21.0,9.0,104.0
MEADEBASE #23,10.0,93.0,57.0,274.0
MEADEBEAR BUTTE #9,4.0,17.0,4.0,121.0
MEADEBLACK HAWK #14,9.0,105.0,63.0,426.0
MEADECENTRAL BLACK HAWK #19,7.0,107.0,40.0,343.0
MEADECENTRAL STURGIS #3,3.0,60.0,20.0,155.0
MEADECHALK BUTTE #27,0.0,12.0,11.0,115.0
MEADEEAST PIEDMONT #12,7.0,116.0,43.0,631.0
MEADEEAST STURGIS #1,3.0,68.0,16.0,156.0
MEADEELK VALE #21,4.0,55.0,17.0,313.0
