county,precinct,office,district,candidate,party,votes
New York,045/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,2
New York,045/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,2
New York,045/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,3
New York,045/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,1
New York,045/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,1
New York,045/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,2
New York,046/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,046/73,U.S. Senate,NYC,Absentee / Military,,49
New York,046/73,U.S. Senate,NYC,Federal,,8
New York,046/73,U.S. Senate,NYC,Special Presidential,,0
New York,046/73,U.S. Senate,NYC,Affidavit,,8
New York,046/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,239
New York,046/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,109
New York,046/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,5
New York,046/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,3
New York,046/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,2
New York,046/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,4
New York,046/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,1
New York,046/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,1
New York,046/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,2
New York,047/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,047/73,U.S. Senate,NYC,Absentee / Military,,53
New York,047/73,U.S. Senate,NYC,Federal,,12
New York,047/73,U.S. Senate,NYC,Special Presidential,,0
New York,047/73,U.S. Senate,NYC,Affidavit,,18
New York,047/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,475
New York,047/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,124
New York,047/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,5
New York,047/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,4
New York,047/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,8
New York,047/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,5
New York,047/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,2
New York,047/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,0
New York,047/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,5
New York,048/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,048/73,U.S. Senate,NYC,Absentee / Military,,23
New York,048/73,U.S. Senate,NYC,Federal,,1
New York,048/73,U.S. Senate,NYC,Special Presidential,,0
New York,048/73,U.S. Senate,NYC,Affidavit,,13
