precinct,gen_con_BRADLEY,gen_dem_KAINE,gen_grn_BARAKA,gen_ind_BAYES,gen_ind_JOHNSON,gen_ind_MONAHAN,gen_lib_WELD,gen_rep_PENCE,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_VALENTINE,pri_dem_WOLFE,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_JINDAL,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
CROSS_SMITH,1,92,4,3,2,0,11,673,37,2,1,19,2,0,1,24,0,137,0,0,2,0,3,0,42,0,151,786,360,61
CROSS_TWIST,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,0
CROSS_TYRONZA,0,22,1,1,0,1,0,38,3,1,0,1,0,0,0,0,0,6,0,0,0,0,0,1,2,0,10,63,19,5
CROSS_WYNNE TOWNSHIP,2,124,1,6,4,1,2,510,47,0,0,20,0,2,1,15,0,80,1,0,4,0,6,0,47,0,106,650,260,69
CROSS_WYNNE WARD 1,3,161,3,11,3,4,7,383,64,1,3,31,1,1,3,18,1,58,0,2,4,0,7,0,32,0,99,575,224,101
CROSS_WYNNE WARD 2,5,169,0,6,3,7,20,503,59,0,2,28,0,2,0,20,0,92,0,0,5,0,2,0,50,0,91,713,260,91
CROSS_WYNNE WARD 3,2,230,0,4,1,1,4,148,84,0,0,7,0,0,0,5,0,16,0,0,1,0,1,1,8,0,21,390,53,91
CROSS_WYNNE WARD 4,5,367,1,4,1,4,10,102,135,3,1,13,2,0,1,3,0,20,0,0,1,0,1,0,12,0,18,494,56,154
CROSS_WYNNE WARD 5,5,216,4,3,8,5,17,695,102,1,2,32,0,2,1,11,2,122,1,0,4,0,14,0,96,1,160,953,412,139
DALLAS_DISTRICT 1,0,178,0,3,2,0,1,28,110,0,3,10,2,1,0,0,0,3,0,0,0,0,0,0,0,0,2,212,5,126
DALLAS_DISTRICT 2,0,201,2,0,3,0,2,82,120,2,4,28,3,0,0,0,0,2,0,0,1,0,0,0,2,0,10,290,15,157
DALLAS_DISTRICT 3,0,131,1,0,4,0,3,41,60,1,0,13,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,180,4,76
DALLAS_DISTRICT 4,0,114,2,2,4,3,4,192,80,7,11,61,3,5,2,2,0,13,0,0,1,0,0,0,13,0,10,321,41,167
DALLAS_DISTRICT 5,4,103,0,4,3,2,4,247,62,15,12,80,7,14,0,5,0,9,0,0,0,0,0,1,11,0,26,367,52,190
DALLAS_DISTRICT 6,2,181,1,0,4,2,2,96,102,1,4,18,0,2,0,2,0,18,0,0,0,0,1,0,5,0,11,288,37,127
DALLAS_DISTRICT 7,1,136,1,2,4,1,2,169,80,3,4,23,1,4,0,2,0,27,0,0,0,0,0,0,16,0,28,316,73,115
DALLAS_DISTRICT 8,1,59,1,2,2,0,4,304,37,1,5,31,1,8,2,8,0,55,0,0,0,0,0,0,28,0,49,373,142,83
DALLAS_DISTRICT 9,0,62,4,0,2,2,4,350,42,9,14,97,10,8,0,7,0,21,0,0,3,0,0,0,14,0,24,424,69,180
DESHA_BOWIE 1,0,147,0,0,3,0,7,384,131,9,7,89,6,9,4,5,0,16,0,0,2,0,2,0,30,0,50,541,109,251
DESHA_BOWIE 2,2,231,1,2,3,4,3,304,176,12,8,72,8,8,0,2,0,10,0,0,1,0,0,0,10,0,41,550,64,284
DESHA_BOWIE 3,0,280,0,1,2,1,3,59,191,1,2,22,2,0,0,2,0,1,1,0,1,0,0,0,3,0,6,346,14,218
DESHA_BOWIE RURAL,0,20,0,0,0,1,1,39,16,1,2,10,0,0,0,0,0,3,0,0,0,0,1,0,1,0,2,61,7,29
